ticker;ISIN;nom
ETZ;FR0011550193;
ESE;FR0011550185;
ESDD;FR0011550680;
MOED;LU1481201538;
MUSRI;LU1953137681;
ETDD;FR0012739431;
C5HU;LU1681047582;
C50U;LU1681047400;
VEUR;IE00B945VV12;
EMSR;LU1291098314;
CSX5;IE00B53L3W79;
CEMU;IE00B53QG562;
RS2U;LU1681038839;
FROG;QS0011017603;CAC Petrole et Gaz
FRBM;QS0011017637;CAC Materiaux de base
FRIN;QS0011017652;CAC Industries
FRCG;QS0011017686;CAC Biens de consommation
FRHC;QS0011017702;CAC Sante
FRCS;QS0011017736;CAC Services aux consommateurs
FRTEL;QS0011017769;CAC Telecommunications
FRUT;QS0011017785;CAC Services aux collectivites
FRFIN;QS0011017801;CAC Finances
FRTEC;QS0011017827;CAC Technologie
ALCOI;BE0160342011;Coil
ALKKO;BE0974284169;KKO International
ALINV;BE0974299316;Invibes Advertising
ALPHS;BE0974302342;Pharmasimple
ALAVY;BE0974334667;Audiovalley
ALHEO;CA4433003064;H20 Innovation
ALPCI;CY0104972217;Primecity
ALLLN;ES0105089009;Lleida.net
ALQP;ES0105118006;Quadpack
ALANT;ES0109429037;Antevenio
ALLEX;FR0000033599;Lexibook Linguist.
ALGEV;FR0000033888;Gevelot
ALBDM;FR0000035305;Bd Multi Media
ALESK;FR0000035818;Esker
ALRGR;FR0000037640;Rougier S.A.
ALEUP;FR0000044810;Europlasma
ALLOG;FR0000044943;Logic Instrument
ALENR;FR0000045122;Entreprendre
ALADA;FR0000053076;Ada
ALDEL;FR0000054132;Delfingen
ALBOU;FR0000054421;Bourrelier Group
ALPHY;FR0000054652;Ales Groupe
ALDEV;FR0000060840;Devernois
ALMEC;FR0000061244;Mecelec
ALSIP;FR0000061582;SI Participations
ALPDX;FR0000061608;Piscines Desjoyaux
ALIDS;FR0000062184;Idsud
ALNSC;FR0000064529;Nsc Groupe
ALPJT;FR0000066441;Poujoulat
ALHRG;FR0000066540;Herige
ALDBL;FR0000066961;Bernard Loiseau
ALMAK;FR0000072993;Makheia Group
ALSER;FR0000073728;Serma Technologies
ALSAS;FR0000074775;Stradim Espac.Fin.
ALLDL;FR0000075442;Groupe LDLC
LTAN;FR0000075673;Le Tanneur
ALHIO;FR0000077562;Hiolle Industries
ALU10;FR0000079147;U10 Corp.
ALATF;FR0000079683;Artefact
ALBI;FR0000124414;Groupe Gascogne
ALDAR;FR0000185423;Damartex
ALKEY;FR0000185621;Keyyo
ALDOL;FR0004022754;Dolphin Integrat.
ALLAN;FR0004027068;Lanson-BCC
ALVIV;FR0004029478;Visiativ
ALDUB;FR0004030708;Encres Dubuit
ALNEV;FR0004032746;Neovacs
ALMRB;FR0004034320;Mr Bricolage
ALFBA;FR0004034593;Fashion B Air
ALTRA;FR0004043487;Traqueur
ALPRI;FR0004044600;Prismaflex Intl
ALVDM;FR0004045847;Voyageurs du monde
ALGEN;FR0004053510;Genoway
ALMIC;FR0004058949;Microwave Vision
ALNSE;FR0004065639;NSE
ALCLA;FR0004152882;Clasquin
ALHYG;FR0004153930;Hybrigenics
ALVER;FR0004155240;Vergnet
ALMAS;FR0004155687;Mastrad
ALTVO;FR0004166197;Evolis
ALNXT;FR0004171346;Nextedia
